SYMBOL,TOTTRDQTY,TOTTRDVAL,TOTALTRADES
BAJAJHCARE,21473,1567272.5,132
BAJAJHIND,19326,17705722,2050
BAJAJHLDNG,9937,277579.4,107
BAJFINANCE,7412,5300304.75,939
BALAJITELE,134096,90462416.4,5028
BALAMINES,1167327,117315573.8,7819
BALAXI,49007,21207931.05,2592
BALKRISHNA,99761,14308297.55,2912
BALKRISIND,26865,535061.4,242
BALMLAWRIE,647108,1027115258,26037
BALPHARMA,122283,5069157.5,888
BALRAMCHIN,81724,474017.4,249
BANARBEADS,7562,1265463.4,711
BANARISUG,87685,1840963.15,119
BANCOINDIA,1219902,867172.15,610
BANDHANBNK,4364,3863794.75,653
BANG,213251,157245056.8,12486
BANKA,34827,48823023.85,4555
BANKBARODA,9905,2270736,537
BANKINDIA,57873,32747952.45,3984
BANSWRAS,22207,6599846.6,1771
BARBEQUE,247517,273288821,13305
BARTRONICS,224475,129510613,5239
BASF,3565538,764965701.6,55205
BASML,277038,1182265657,28764
BATAINDIA,28603,14859771.75,2513
BAYERCROP,1528929,415774850.3,15658
BBL,41091,62447574.65,3047
BBOX,248674,74056464.05,7405
BBTC,352143,106111858,21012
BCG,68191,5468742.5,1078
BCLIND,792063,17728426.3,2852
BCONCEPTS,8507,287937.3,370
BCP,9939,1366846.9,414
BDL,293858,20832761.15,2610
BEARDSELL,18252,4022865.95,812
BECTORFOOD,3149,4341996.8,433
BEDMUTHA,9014,438346.65,194
BEL,29395,3488730.9,158
BEML,176458,2349032.2,361
BEPL,1964,41435.8,20
BERGEPAINT,115656,7554354.25,1492
BESTAGRO,33584,3788346.6,111
BFINVEST,862,79108.65,63
BFUTILITIE,795106,76799373.1,7564
BGRENERGY,271681,84139486.2,8010
BHAGCHEM,57064,14218949.8,1795
BHAGERIA,55338,34599167.2,5657
BHAGYANGR,12475,3708345.6,918
BHAGYAPROP,15488,6211703.45,1285
BHANDARI,46226,21933188.45,3399
BHARATFORG,55666,4959924,1077
BHARATGEAR,25016,4051329.8,960
BHARATRAS,57621,887389.6,179
BHARATWIRE,294353,22359499.45,3243
BHARTIARTL,10774956,1590299683,51968
BHEL,26182,1875748.05,468
BIGBLOC,6637,610799,128
