SYMBOL,OPEN,LOW,HIGH,CLOSE,LAST,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,SERIES,TIMESTAMP,ISIN
BLS,20.85,20.5,21.75,21.35,21.35,553947,11774487.45,2351,EQ,2022-10-13,INE285H01022
BLUEDART,8739.3,8623,8817.6,8763.2,8799.85,30987,271396479.9,4562,EQ,2022-10-13,INE100A01010
BLUESTARCO,245.2,245.2,262,259.35,262,976168,249369876.5,16003,EQ,2022-10-13,INE951D01028
BODALCHEM,583.3,578.1,586.9,581.6,581.65,2191049,1272728933,34864,EQ,2022-10-13,INE949L01017
BOMDYEING,419.6,409.05,424.4,418.1,415.15,84204,35183737.9,4785,EQ,2022-10-13,INE132H01018
BOROLTD,518.05,512.6,519.65,515.7,515.65,728823,376051021,13860,EQ,2022-10-13,INE406A01037
BORORENEW,127,124,127.95,126.45,127,48969,6173516.5,341,BE,2022-10-13,INE898S01029
BOSCHLTD,72.05,72,72.9,72.35,72.8,1565,113013.1,64,EQ,2022-10-13,INE218C01016
BPCL,2008,1963.6,2044,2036.25,2028,26012,52475115.3,5002,EQ,2022-10-13,INE449A01011
BPL,111,105.5,113.95,106.5,105.7,97796,10528858.35,1970,EQ,2022-10-13,INE718H01014
BRIGADE,526.15,511.55,528.4,514.3,515,40191,20891827.15,2636,EQ,2022-10-13,INE349W01017
BRNL,102.65,102,104,103.15,102.8,50702,5214245,1184,EQ,2022-10-13,INE488D01021
BROOKS,308.2,305.35,322.75,313.45,312.5,118167,36842920.2,5460,EQ,2022-10-13,INE01BK01022
BSE,696,680.65,702,683.8,682.7,3852695,2655447978,82442,EQ,2022-10-13,INE699H01024
BSHSL,807,795.6,814.95,802,805,13024911,10464902283,250427,EQ,2022-10-13,INE238A01034
BSL,166.95,163,167.5,164.2,164,56204,9261676.85,2023,EQ,2022-10-13,INE555B01013
BSOFT,366,347.65,370,353.85,358.2,57847,20573887.85,2413,EQ,2022-10-13,INE02EZ01014
BURNPUR,78.05,75.55,78.25,76.15,76.15,21548,1649740.8,296,EQ,2022-10-13,INE193B01039
BUTTERFLY,104.7,100.3,104.7,103.75,103.75,89,9058.5,10,BE,2022-10-13,INE878I01022
BVCL,5.55,5.35,5.6,5.4,5.45,150514,809377.3,261,BE,2022-10-13,INE116D01028
BYKE,3616.85,3590,3648.8,3604.8,3602.4,336605,1217642217,26043,EQ,2022-10-13,INE917I01010
CALSOFT,155.5,151.5,156,152.7,152.5,187625,28727727.05,6339,EQ,2022-10-13,INE933K01021
CAMLINFINE,1155,1141.2,1169.95,1156.7,1149,58788,67961111.35,5895,EQ,2022-10-13,INE193E01025
CAMPUS,1692.95,1666.45,1694.55,1681.75,1681.7,1065166,1787684011,41097,EQ,2022-10-13,INE918I01026
CAMS,344.3,335.1,349.8,346.15,344.9,17973,6142054.95,1395,EQ,2022-10-13,INE411U01027
CANBK,11.1,10.75,11.1,10.75,10.8,2858462,30936276.2,3782,EQ,2022-10-13,INE306A01021
CANDC,6684,6607,6690,6651.85,6640,87441,580825206.2,14772,EQ,2022-10-13,INE118A01012
CANFINHOME,7220.5,7114.7,7226,7151.65,7150.5,608655,4357221205,61668,EQ,2022-10-13,INE296A01024
CANTABIL,48.7,47.55,49.9,48.35,48.3,67271,3264830.15,918,EQ,2022-10-13,INE794B01026
CAPACITE,3065,3027.3,3088.35,3038.75,3041,38416,117283158.1,7773,EQ,2022-10-13,INE050E01027
CAPLIPOINT,609.9,581.05,609.9,593.95,598.9,1419,835883.1,79,BE,2022-10-13,INE618N01014
CAPTRUST,35.05,33,35.45,34.55,35,21253,732366.35,462,EQ,2022-10-13,INE875R01011
CARBORUNIV,1947.5,1911.3,1947.5,1922.9,1921,124382,239639319.1,10322,EQ,2022-10-13,INE787D01026
CAREERP,112.5,111.65,113.25,111.95,112,47824,5365384.9,1057,EQ,2022-10-13,INE164A01016
CARERATING,94.05,92.25,94.05,93,92.8,5053,469563.95,130,EQ,2022-10-13,INE083D01012
CARTRADE,355.65,352,359.8,353.9,353.35,852852,302766723.2,12953,EQ,2022-10-13,INE119A01028
CASTROLIND,82.55,82.1,84.55,82.8,83,6793,564740.1,139,EQ,2022-10-13,INE655B01011
CCCL,2899.7,2808,2899.7,2812.05,2808,2724,7685860,236,EQ,2022-10-13,INE459A01010
CCHHL,182,177.6,182.75,179.55,179.65,104805,18770661.7,4153,EQ,2022-10-13,INE213C01025
CCL,267.3,263,268.35,264.25,264.7,2809125,744718187.3,28023,EQ,2022-10-13,INE545U01014
CDSL,48.9,45.4,49.45,46.4,46.3,44838,2113256.3,635,EQ,2022-10-13,INE863I01016
CEATLTD,68.8,68.5,69.9,69,68.5,1471,101455.75,59,EQ,2022-10-13,INE862Y01015
CELEBRITY,132,129.2,132.8,130,129.9,14625936,1908860129,52278,EQ,2022-10-13,INE028A01039
CENTENKA,47.2,46.15,47.45,46.3,46.2,1699594,78902830.2,8609,EQ,2022-10-13,INE084A01016
CENTEXT,97.4,95,97.9,95.6,95.3,17778,1716780.9,647,EQ,2022-10-13,INE629D01020
CENTRALBK,1067.85,1050.2,1069.9,1052.55,1051.1,21790,23044254.65,2889,EQ,2022-10-13,INE382M01027
CENTRUM,3.7,3.55,3.7,3.65,3.65,6566,23412.4,29,BZ,2022-10-13,INE855F01034
CENTUM,2855,2845.45,2885.55,2874.5,2868,6603,18919637.5,1391,EQ,2022-10-13,INE373A01013
CENTURYPLY,50.2,49.65,50.6,50.05,50.05,27022,1351578.7,512,EQ,2022-10-13,INE186H01022
CENTURYTEX,1802,1781.75,1825,1822.25,1820,284505,513518169,14708,EQ,2022-10-13,INE176A01028
CERA,4672,4645,4693.65,4648.25,4645,3663,17081915.15,1331,EQ,2022-10-13,INE462A01022
CEREBRAINT,1965.85,1912.05,1984.7,1920.5,1913.05,11020,21324232.8,2525,EQ,2022-10-13,INE464A01028
CESC,168.95,166.9,172.65,170.65,170,215227,36647430.75,4237,EQ,2022-10-13,INE676A01027
CGCL,903.9,898,909.85,900.5,898,19276,17384032.1,1917,EQ,2022-10-13,INE050A01025
CGPOWER,38.8,35.95,38.95,36.35,36.1,13758972,511178176.5,25997,EQ,2022-10-13,INE425B01027
CHALET,329.1,321.1,333.05,323.45,324.85,15088,4908649.05,994,EQ,2022-10-13,INE412G01016
CHAMBLFERT,187.4,176.25,187.4,184.05,184,7023,1281621.75,78,BE,2022-10-13,INE977Y01011
CHEMBOND,4.8,4.55,4.85,4.6,4.55,162593,757071.7,366,EQ,2022-10-13,INE905P01028
CHEMCON,882.7,861.55,885,864.5,864,411073,357882189.6,17620,EQ,2022-10-13,INE171Z01018
CHEMFAB,22.3,20.6,22.3,21.1,21.1,20172,426883.75,218,EQ,2022-10-13,INE520H01022
CHEMPLASTS,380.05,377,384.2,383.1,383.3,74491,28362686.6,3738,EQ,2022-10-13,INE495P01012
CHENNPETRO,68.8,66.7,75,74.3,75,67564,4911706.05,909,EQ,2022-10-13,INE844K01012
CHEVIOT,103.25,101.05,104.4,101.4,101.5,7795689,795136769.3,41487,EQ,2022-10-13,INE263A01024
CHOICEIN,1521,1512,1531.95,1519.4,1516,19443,29613816.45,3480,EQ,2022-10-13,INE258A01016
CHOLAFIN,117.6,115.05,118.25,116.2,116.45,127617,14842471.55,3559,EQ,2022-10-13,INE922A01025
CHOLAHLDNG,625,614,631.75,615.2,616.4,523981,325006557.5,18181,EQ,2022-10-13,INE463A01038
CIGNITITEC,1328.9,1281,1336.85,1303.45,1311,58206,75930511.15,4564,EQ,2022-10-13,INE052T01013
CINELINE,301.85,295.1,302.35,299.45,299.3,21607,6462862.2,1373,EQ,2022-10-13,INE878K01010
CINEVISTA,406.5,396.85,409.6,399.85,400,273233,109636240.2,7550,EQ,2022-10-13,INE243D01012
CIPLA,71.3,69.4,71.75,70.25,70.1,45909,3239946.95,744,EQ,2022-10-13,INE661I01014
CLEAN,1349.9,1320,1349.95,1321,1335,1216,1611883.75,193,EQ,2022-10-13,INE414D01019
CLEDUCATE,169.45,168.15,174,172.95,173.45,9719,1664051,428,EQ,2022-10-13,INE354C01027
CLNINDIA,45.35,42.75,45.35,44.05,44,23256,1024987.3,325,EQ,2022-10-13,INE458B01036
CLSEL,41.3,41.25,42,41.4,41.25,1827,75633.45,18,EQ,2022-10-13,INE363W01018
CMICABLES,5.45,5.35,5.5,5.4,5.45,121244,654074.4,402,EQ,2022-10-13,INE474E01029
CMSINFO,765.65,745.35,766.7,748.25,748,811464,610884557.1,20506,EQ,2022-10-13,INE465A01025
COALINDIA,144.75,140.05,145.65,141.65,140.85,26412,3777986.55,1131,EQ,2022-10-13,INE561C01019
COASTCORP,10952,10800.05,11095,10899.15,10990,694,7594635.7,487,EQ,2022-10-13,INE838B01013
COCHINSHIP,114.45,113.1,116.9,114.55,114.75,77731,8895837.75,1271,EQ,2022-10-13,INE316L01019
COFFEEDAY,775,767.65,779,768.9,768,2842056,2190332519,101132,EQ,2022-10-13,INE397D01024
COFORGE,61.9,60.3,62.35,60.65,60.65,13430722,818923157.3,22576,EQ,2022-10-13,INE257A01026
COLPAL,126.65,123.7,129,127.2,127.75,32531,4115914.4,1051,EQ,2022-10-13,INE412U01025
COMPINFO,220,211.6,220,214.7,216.4,4610,991355.35,1012,EQ,2022-10-13,INE828A01016
COMPUSOFT,25.75,25.3,25.8,25.5,25.45,102968,2627035,688,EQ,2022-10-13,INE143A01010
CONCOR,268.5,261.25,268.8,262.4,262.7,4126270,1089152774,48573,EQ,2022-10-13,INE376G01013
CONFIPET,49.1,48.05,49.1,48.35,48.4,10930,529506.55,252,EQ,2022-10-13,INE829A01014
CONSOFINVT,135.65,131.7,135.65,133,133.4,40050,5344324.85,1413,EQ,2022-10-13,INE800A01015
CONTROLPR,907.55,891.05,910,904.1,905,36430,32755673.7,4324,EQ,2022-10-13,INE340A01012
CORALFINAC,58.75,57.9,67.45,64.65,64.2,2460628,159366610,17184,EQ,2022-10-13,INE865C01022
CORDSCABLE,1.2,1.2,1.25,1.2,1.25,64411,78026.9,69,BZ,2022-10-13,INE831Q01016
COROMANDEL,20.55,20,20.75,20,20.05,9385,189611.1,94,EQ,2022-10-13,INE791A01024
COSMOFIRST,75.1,74,75.1,74.25,74.55,49462,3676914.75,1045,EQ,2022-10-13,INE416D01022
COUNCODOS,27.3,26.75,27.4,27.2,27.35,324805,8803423.45,726,EQ,2022-10-13,INE350H01032
CRAFTSMAN,283.5,281.25,291.6,285.05,284.7,1656580,473585016.4,84563,EQ,2022-10-13,INE153T01027
CREATIVE,9000,8899.95,9050,8956.6,8955,13798,123831928.1,5136,EQ,2022-10-13,INE233B01017
CREATIVEYE,1180,1135.75,1180,1141.95,1137,56828,65499427.85,7679,EQ,2022-10-13,INE472A01039
CREDITACC,84.25,83.8,86.4,84.15,84.25,246378,20907397.15,3905,EQ,2022-10-13,INE338D01028
CREST,98.4,96.4,99.15,97.3,97,954445,92991997.5,5653,EQ,2022-10-13,INE032A01023
CRISIL,434.4,428.6,441,431.65,431,230847,100331847.4,8551,EQ,2022-10-13,INE02PY01013
CROMPTON,568.7,559.05,571.95,561.3,563,112175,63154181.2,6634,EQ,2022-10-13,INE666D01022
CROWN,15700,15480,15739.9,15543.7,15538.25,10921,169963764.3,3342,EQ,2022-10-13,INE323A01026
CSBBANK,304.05,299.5,305.25,300.3,300.6,3029077,912843861.9,47213,EQ,2022-10-13,INE029A01011
CSLFINANCE,71,68,71,69.3,69.4,61452,4255596.95,791,EQ,2022-10-13,INE110A01019
CTE,510.6,486.1,513.05,491.5,490,242119,120859869.5,16272,EQ,2022-10-13,INE791I01019
CUB,36.35,34.5,36.6,35.25,35,33592,1190361.75,322,EQ,2022-10-13,INE727S01012
CUBEXTUB,110.2,108,112.2,108.65,108.15,8116,885806.4,133,BE,2022-10-13,INE650L01011
CUMMINSIND,590.95,587.2,594.9,591.15,592.5,245807,145246815.4,13059,EQ,2022-10-13,INE118H01025
CUPID,102.8,102.8,112,110.25,111,92051,9946511.8,798,BE,2022-10-13,INE032Z01020
CYBERMEDIA,142.7,136.55,142.7,137.55,136.75,13867,1937653.25,467,EQ,2022-10-13,INE594B01012
CYBERTECH,283.3,276.5,283.3,280.45,280.9,1074518,300897830.4,17660,EQ,2022-10-13,INE836A01035
CYIENT,5,4.85,5.05,4.9,4.9,79447,391668,299,EQ,2022-10-13,INE817H01014
DAAWAT,1739,1736.05,1860,1801.35,1787,42722,77740512,6189,EQ,2022-10-13,INE295F01017
DABUR,24.8,23.2,24.8,24.25,24.25,17798,422344.75,39,BE,2022-10-13,INE139I01011
DALBHARAT,42.9,41,42.9,41.15,41.2,19282,801655.6,213,EQ,2022-10-13,INE319B01014
DALMIASUG,19.1,18.35,19.25,18.5,18.8,35073,656730.6,224,EQ,2022-10-13,INE526B01014
DAMODARIND,113.7,111.55,114.55,113.25,113.2,159531,18042601.6,3904,EQ,2022-10-13,INE052I01032
DANGEE,586.95,575,592.8,581.55,576.5,696108,405502465.4,27546,EQ,2022-10-13,INE278Y01022
DATAMATICS,2568,2568,2690,2596.6,2587,526042,1390832130,43964,EQ,2022-10-13,INE596I01012
DATAPATTNS,224.9,221,226.5,223.5,223.55,5142289,1147972545,25698,EQ,2022-10-13,INE476A01014
DBCORP,2.8,2.8,2.8,2.8,2.8,14870,41636,15,BZ,2022-10-13,INE874H01015
DBL,490.2,487.6,507.35,502.25,502,1489001,742827497.7,23788,EQ,2022-10-13,INE477A01020
DBOL,1289.15,1255.55,1289.15,1267.4,1274.25,7588,9620965.15,909,EQ,2022-10-13,INE068L01016
DBREALTY,163.7,158.85,164.4,159.95,160,108395,17466103.15,2073,EQ,2022-10-13,INE264T01014
DBSTOCKBRO,715,700.05,719.8,710.2,707.8,29805,21112976.65,3006,EQ,2022-10-13,INE475E01026
DCAL,97.45,95,97.85,95.35,96,1358,130534.25,69,EQ,2022-10-13,INE707C01018
DCBBANK,884,867.95,893.5,888.5,884.95,85479,74995486.9,4784,EQ,2022-10-13,INE120A01034
DCM,129.45,124.3,132.75,129.25,128.5,30239,3914516.9,773,EQ,2022-10-13,INE521J01018
DCMFINSERV,514.7,498.5,516.15,502.45,504.1,75971,38217559.2,3378,EQ,2022-10-13,INE752H01013
DCMNVL,597,588.35,602.05,589.4,588.35,32440,19200850.85,5621,EQ,2022-10-13,INE290S01011
DCMSHRIRAM,120,119.6,123.6,123.15,123.3,3005592,368427849,21964,EQ,2022-10-13,INE172A01027
DCMSRIND,1.75,1.7,1.75,1.7,1.7,160001,273825.1,238,BE,2022-10-13,INE429I01024
DCW,8.2,7.7,8.2,7.75,7.75,25585,199339.45,82,BE,2022-10-13,INE652F01027
DECCANCE,477.2,477.2,493.85,488.25,488,130399,63568003.75,7449,EQ,2022-10-13,INE421D01022
DEEPAKFERT,1211,1210,1230.65,1220.05,1221,195213,238552940,17791,EQ,2022-10-13,INE736A01011
DEEPAKNTR,1529.65,1472.45,1532.95,1478.15,1481.65,95633,142746086.9,8216,EQ,2022-10-13,INE482A01020
DEEPENR,22.3,20.75,22.45,21.15,21.15,133895,2903002.45,805,EQ,2022-10-13,INE185H01016
DEEPINDS,453.3,450.5,457.45,454.05,456,32706,14826305.05,2149,EQ,2022-10-13,INE485A01015
DELHIVERY,11.65,11.1,11.9,11.35,11.25,98887,1143757.85,213,BE,2022-10-13,INE281A01026
DELPHIFX,19.5,19.3,19.7,19.4,19.4,1459465,28362005.15,2980,EQ,2022-10-13,INE483A01010
DELTACORP,23.75,23.4,24.05,23.6,23.6,70875,1672422.5,439,EQ,2022-10-13,INE660C01027
DELTAMAGNT,520.4,518,527.95,519,518,11409,5931842.8,735,EQ,2022-10-13,INE320B01020
DEN,624.85,618.2,625.95,624.3,625.2,34443,21484502.4,5195,EQ,2022-10-13,INE348B01021
DENORA,836.8,813,836.8,816.2,814.1,67443,55348844.75,5310,EQ,2022-10-13,INE055A01016
DEVIT,5430,5374.45,5449.85,5407.7,5410,2925,15844646.65,1342,EQ,2022-10-13,INE739E01017
DEVYANI,38.95,38,39.4,38.2,38,226820,8676844.15,952,EQ,2022-10-13,INE345B01019
DFMFOODS,78.6,77.55,78.8,77.95,78.2,673389,52560280.5,13656,EQ,2022-10-13,INE486A01021
DGCONTENT,730.15,718.45,736,729.3,736,184875,133562823.2,5798,EQ,2022-10-13,INE180C01026
DHAMPURSUG,255,252.6,259.5,256.65,257.25,1263400,323634074.1,16049,EQ,2022-10-13,INE067A01029
DHANBANK,392.05,386.5,401.5,390,390.1,294803,115651493.7,11843,EQ,2022-10-13,INE427F01016
DHANI,318,312.9,321.35,318.45,317.6,630330,199796954.9,14148,EQ,2022-10-13,INE085A01013
DHANUKA,191.8,185.15,191.85,186.4,185.35,7568,1415282.65,225,EQ,2022-10-13,INE995D01025
DHARAMSI,424,415.1,436.95,424.1,423.05,214480,91446129.7,9104,EQ,2022-10-13,INE03YM01018
DHARSUGAR,419.85,398.1,419.9,411.35,409,20681,8394982.05,1286,EQ,2022-10-13,INE783X01023
DHRUV,404.5,399.4,407.8,400.75,401.9,46140,18541883,2215,EQ,2022-10-13,INE488A01050
DHUNINV,231.6,228,236.5,228.6,229.2,446337,103045163.7,10395,EQ,2022-10-13,INE178A01016
DIAMONDYD,1211.95,1162.15,1211.95,1181.5,1162.15,2177,2593479.3,478,EQ,2022-10-13,INE974B01016
DICIND,240.05,236,244.8,241.1,241.1,37391,8936822.8,678,EQ,2022-10-13,INE102B01014
DIGISPICE,746,723,749.9,724.65,725,2075054,1514996185,24589,EQ,2022-10-13,INE121A01024
DIL,631.7,620.65,649.4,628.35,629.8,399430,252658466.1,14874,EQ,2022-10-13,INE149A01033
DISHTV,522.1,522.1,549.7,547.95,549.7,145295,77686296.85,4485,EQ,2022-10-13,INE675C01017
DIVISLAB,113.3,108.1,113.3,109.2,108.1,27433,3022808.95,319,EQ,2022-10-13,INE704H01022
DIXON,13.85,12.85,14.05,12.85,12.85,39849,522134.15,178,EQ,2022-10-13,INE039B01026
DLF,1108.4,1101.1,1127.85,1103.65,1103,1438932,1599425304,75340,EQ,2022-10-13,INE059A01026
DLINKINDIA,1629.7,1610,1631.25,1613,1615.1,66874,108214880.2,5922,EQ,2022-10-13,INE227W01023
DMART,143,138.65,145,139.25,138.8,15896,2239231.1,517,EQ,2022-10-13,INE201M01029
DNAMEDIA,418.75,409,424,409.9,409.9,11682,4818463.95,1145,EQ,2022-10-13,INE492A01029
DODLA,115.55,112.1,116,114.05,113.5,89195,10166840.8,2650,EQ,2022-10-13,INE419D01026
DOLATALGO,23.65,23.1,24.75,23.4,23.5,79043,1880883.5,1074,EQ,2022-10-13,INE981B01011
DOLLAR,292,286.05,298,288.05,287.9,161019,46752398.95,5922,EQ,2022-10-13,INE925R01014
DONEAR,232.2,231.1,235.6,234.55,234.05,7231841,1691484427,64575,EQ,2022-10-13,INE522F01014
DPABHUSHAN,324,309.6,324,313.25,312,21370,6707356.95,992,EQ,2022-10-13,INE377E01016
DPSCLTD,533.2,530.1,552.4,542.05,543.5,4393238,2388492800,78525,EQ,2022-10-13,INE704P01017
DPWIRES,52.7,50.2,53.2,50.5,50.5,2414762,123402664.8,11099,EQ,2022-10-13,INE335K01011
DRCSYSTEMS,3620,3580,3647,3633.9,3627,136976,494790240.3,10408,EQ,2022-10-13,INE591G01017
DREAMFOLKS,1571.4,1547.15,1577.15,1553.95,1554.7,85646,133405929.7,8182,EQ,2022-10-13,INE259A01022
DREDGECORP,23.85,23.1,23.85,23.2,23.1,104088,2425648.1,702,EQ,2022-10-13,INE070C01037
DRREDDY,22.65,21.65,22.7,22.55,22.65,63271,1419059.05,674,EQ,2022-10-13,INE453B01029
DSSL,712,692.4,720.8,695.1,695.05,1326752,932051686.3,23644,EQ,2022-10-13,INE111A01025
DTIL,75.95,74.4,76.5,74.85,75.5,325247,24459582.2,3093,EQ,2022-10-13,INE552D01024
DUCON,140.45,137.15,143,137.6,137.5,3003,416366.1,112,EQ,2022-10-13,INE025A01027
DVL,428.95,424,432.8,428.9,432.8,5086,2173871.85,557,EQ,2022-10-13,INE663B01015
DWARKESH,36.3,35.05,36.3,35.3,35.45,15773,557690.4,308,EQ,2022-10-13,INE558D01021
DYCL,63,62.5,65,63.45,63.35,29736,1909349.55,319,EQ,2022-10-13,INE792I01017
DYNAMATECH,977,967.05,982.8,969.9,968,372965,362941493.3,23211,EQ,2022-10-13,INE169A01031
DYNPRO,843,820.2,843,834.35,839,47663,39561139.85,5588,EQ,2022-10-13,INE757A01017
E2E,4,3.9,4,4,4,39343,156300.1,70,EQ,2022-10-13,INE695B01025
EASEMYTRIP,2761.1,2732.25,2789,2748.6,2756,7791,21473045.2,2432,EQ,2022-10-13,INE00LO01017
EASTSILK,472.2,452,483,459.35,460,18398,8553318.9,383,EQ,2022-10-13,INE985W01018
ECLERX,4.45,4.3,4.45,4.4,4.4,3329,14703.1,20,EQ,2022-10-13,INE230B01021
EDELWEISS,986.95,978.55,1002.45,991.8,995,89568,88504142.45,5788,EQ,2022-10-13,INE741K01010
EICHERMOT,154.45,150.1,154.6,150.4,150.25,6759,1027202,271,EQ,2022-10-13,INE559D01011
EIDPARRY,3100,3066.05,3124.75,3094.4,3109,17073,52698915.1,3404,EQ,2022-10-13,INE007A01025
EIFFL,387.6,378,387.8,383.85,384.9,1236941,474193852.5,24141,EQ,2022-10-13,INE299U01018
EIHAHOTELS,39.2,37,39.45,37.2,37,9744,369611.95,712,EQ,2022-10-13,INE491V01019
EIHOTEL,237.7,237.45,245,243.3,244.65,148563,35768072.7,4756,EQ,2022-10-13,INE679A01013
EIMCOELECO,253.6,243.1,256.2,246.1,245,5935,1476923.6,250,EQ,2022-10-13,INE718F01018
EKC,66.2,64.25,66.35,64.6,64.5,19050,1237742.2,316,EQ,2022-10-13,INE627H01017
ELDEHSG,185.75,179.6,185.9,182,182,2624508,478060747.4,19849,EQ,2022-10-13,INE491A01021
ELECON,27.3,26.55,27.8,27.05,26.7,11694,318944.5,254,EQ,2022-10-13,INE144D01012
ELECTCAST,1208.1,1182.05,1219.4,1189.2,1191,195280,233759666.9,12353,EQ,2022-10-13,INE298A01020
ELECTHERM,246.6,240.15,247.95,245.5,246,21260,5181349.7,1264,EQ,2022-10-13,INE509F01011
ELGIEQUIP,22.5,20.4,22.5,20.4,20.4,194128,4195962.25,893,EQ,2022-10-13,INE278G01037
ELGIRUBCO,140.85,139,141.4,139.55,139,14310,2000941.55,446,EQ,2022-10-13,INE214A01019
EMAMILTD,784,767.2,784,772.65,772.25,108687,84024958.6,17679,EQ,2022-10-13,INE136B01020
EMAMIPAP,119.35,117.5,121.75,119.95,120.2,2893981,346034245.2,17148,EQ,2022-10-13,INE818H01020
EMAMIREAL,535,529.25,538.55,530,529.85,2075101,1107268148,37528,EQ,2022-10-13,INE016A01026
EMKAY,1511,1489.65,1528.6,1506.4,1509,70179,105873187.3,4916,EQ,2022-10-13,INE00R701025
EMMBI,331.5,331.5,337.05,335.35,334.8,27284,9131285.95,2262,EQ,2022-10-13,INE495A01022
EMUDHRA,47.55,46,47.65,46.4,46.1,11204,522610.1,421,EQ,2022-10-13,INE497D01022
ENDURANCE,22,21.5,22.4,21.7,21.6,74131,1618206.35,749,EQ,2022-10-13,INE688Y01022
ENERGYDEV,307.45,305.4,311.05,307.6,310,54368,16740752.85,3224,EQ,2022-10-13,INE365B01017
ENGINERSIN,1158,1151,1175.5,1164.5,1166,98442,114461309.3,9176,EQ,2022-10-13,INE0IX101010
ENIL,123.4,120,123.65,121.05,121.35,226281,27467808.9,4173,EQ,2022-10-13,INE950I01011
EPL,221,216.15,222.15,217.25,218.35,87540,19111902,3092,EQ,2022-10-13,INE917M01012
EQUIPPP,168,162.15,168.45,163.65,163.3,94166,15478558.4,2651,EQ,2022-10-13,INE0I3401014
EQUITAS,113.9,109,116.8,110.2,109.45,679776,76120459.1,8332,EQ,2022-10-13,INE879I01012
EQUITASBNK,26.2,24.45,26.2,24.5,24.5,9283,229653.4,163,EQ,2022-10-13,INE921B01025
ERIS,106.3,101.5,106.45,102.75,103.1,521355,53677125.15,5253,EQ,2022-10-13,INE385W01011
EROSMEDIA,100.3,96.35,100.3,97.05,97,1382591,135038689.6,12903,EQ,2022-10-13,INE503A01015
ESABINDIA,83,80.55,84.2,83.7,84.2,37929,3129836.55,620,EQ,2022-10-13,INE498A01018
ESCORTS,5.7,5.7,5.7,5.7,5.7,16047,91467.9,63,BE,2022-10-13,INE891B01012
ESSARSHPNG,174,172.8,182.85,180.7,180,42166,7540943.1,1166,EQ,2022-10-13,INE08KP01019
ESSENTIA,1063.25,1036,1070.8,1051.8,1058,45904,48182280.1,4852,EQ,2022-10-13,INE499A01024
ESTER,79.85,77.15,79.85,78.15,78.4,47136,3683444.7,1290,EQ,2022-10-13,INE843D01027
ETHOSLTD,57.6,56.5,58.4,57.15,56.85,1873846,107029174.6,5706,EQ,2022-10-13,INE500A01029
EUROTEXIND,502.1,498.95,517.85,516.65,516.95,20511,10478206.45,1305,EQ,2022-10-13,INE583C01021
EVEREADY,901.9,887.05,905.8,891.7,895.9,151294,135256470,7837,EQ,2022-10-13,INE501A01019
EVERESTIND,2225,2204.1,2250.45,2225.45,2221.05,780470,1742063813,37271,EQ,2022-10-13,INE288B01029
EXCEL,135.75,132.25,139.75,139.75,139.75,47768,6603761.15,636,EQ,2022-10-13,INE677H01012
EXCELINDUS,283.4,283.4,302.4,300.9,300,196941,58508829.9,9081,EQ,2022-10-13,INE0FHS01016
EXIDEIND,565.7,556.65,566.95,560.2,561.3,43595,24454669.75,2697,EQ,2022-10-13,INE148O01028
EXPLEOSOL,418,400.7,418,404.8,402.05,2002,816709.65,304,EQ,2022-10-13,INE726L01019
EXXARO,217.2,212.3,217.6,214.25,214.15,3058371,657333448.1,23440,EQ,2022-10-13,INE124G01033
FACT,84,84,88.9,86.05,86.7,34169,2950986.35,740,EQ,2022-10-13,INE393A01011
FAIRCHEMOR,32.7,32.3,34.35,33.2,33.4,1223465,40852942.75,6335,EQ,2022-10-13,INE947J01015
FCL,922,878.55,925,906.25,902,11518,10363250.25,991,EQ,2022-10-13,INE244A01016
FCONSUMER,254.6,231.1,254.6,236.35,234.5,53423,12934841.2,2038,EQ,2022-10-13,INE060X01018
FCSSOFT,194.5,188.5,194.7,189.35,189.15,1432246,272689638.4,20576,EQ,2022-10-13,INE872J01023
FDC,379.85,374.1,379.85,378.05,378,54146,20396245.1,1357,EQ,2022-10-13,INE456C01020
FEDERALBNK,14.5,13.45,14.65,14.1,14,53877,754704.75,314,EQ,2022-10-13,INE03JI01017
FEL,220.1,217,222.15,219.05,219,190039,41637001.45,7125,EQ,2022-10-13,INE041A01016
FELDVR,12,11.85,12,11.9,11.85,86059,1025157.2,307,EQ,2022-10-13,INE680A01011
FIBERWEB,45.45,43.5,45.45,43.8,44.05,644301,28452414.9,5112,EQ,2022-10-13,INE274G01010
FIEMIND,672.5,671,688.95,684.7,684,27555,18832947.6,3509,EQ,2022-10-13,INE435G01025
FILATEX,379,366.05,379,369.75,367,14969,5532425.95,1035,EQ,2022-10-13,INE505A01010
FINCABLES,11.75,11.25,11.75,11.4,11.4,4904,56346.55,52,BE,2022-10-13,INE988C01014
FINEORG,63.05,63,66.35,63.7,64,69043,4468504.8,1004,EQ,2022-10-13,INE506Z01015
FINOPB,643.35,633.35,648.75,638.5,641.95,262,167652.95,87,EQ,2022-10-13,INE320L01011
FINPIPE,875.5,875.5,898.35,890.5,893,8228,7319882.4,1681,EQ,2022-10-13,INE393P01035
FLEXITUFF,423.05,410,432,415.9,416.15,1906,791483.05,225,EQ,2022-10-13,INE303A01010
FLFL,26.35,25.8,26.4,26.3,26.05,27136,708293.9,287,EQ,2022-10-13,INE927C01020
