SYMBOL,OPEN,LOW,HIGH,CLOSE,LAST,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,SERIES,TIMESTAMP,ISIN
AJRINFRA,37.5,37.4,38.4,37.9,38,16291160,618803364.9,22121,EQ,2022-10-13,INE848E01016
AKASH,1249.99,1249.99,1249.99,1249.99,1249.99,2,2499.98,1,N5,2022-10-13,INE848E07559
AKG,1355,1355,1355,1355,1355,200,271000,2,N6,2022-10-13,INE848E07567
AKSHAR,164.85,164.25,166.8,164.75,165,9447511,1563267470,40249,EQ,2022-10-13,INE733E01010
AKSHARCHEM,1120,1119.99,1120,1119.99,1119.99,190,212798.5,15,N4,2022-10-13,INE733E07JH3
AKSHOPTFBR,1242,1242,1250,1250,1250,435,543100.46,5,N5,2022-10-13,INE733E07JI1
AKZOINDIA,13.28,13.28,13.4,13.28,13.28,28722,382880.18,71,N7,2022-10-13,INE733E07JP6
ALANKIT,1050,1047.01,1050,1047.01,1047.01,100,104775.75,2,NB,2022-10-13,INE733E07JU6
ALBERTDAVD,1201,1192,1220,1220,1220,166,199018,24,ND,2022-10-13,INE733E07JW2
ALEMBICLTD,102.6,101.5,103.25,101.95,102,4925016,502108356.4,21018,EQ,2022-10-13,INE134E01011
ALICON,1193,1185,1239.7,1219.99,1219.99,717,868006.78,12,N3,2022-10-13,INE134E07588
ALKALI,1118,1118,1124,1124,1124,1335,1496720,9,N5,2022-10-13,INE134E07208
ALKEM,1120,1119,1120,1119.4,1119,100,111940,3,N6,2022-10-13,INE134E07422
ALKYLAMINE,1382,1380,1383.88,1380,1380,150,207341.01,5,N8,2022-10-13,INE134E07463
ALLCARGO,329.3,317.85,330.8,321.6,322.05,2981139,964172010.8,22686,EQ,2022-10-13,INE511C01022
ALLSEC,1040.3,1040.3,1378,1378,1378,17,18023.5,3,N7,2022-10-13,INE511C07714
ALMONDZ,92.7,91.4,92.7,91.95,92,6193522,569222128.5,20274,EQ,2022-10-13,INE020B01018
ALOKINDS,1098.79,1098.79,1098.79,1098.79,1098.79,100,109879,1,N1,2022-10-13,INE020B07GW6
ALPA,1145,1145,1152,1152,1152,320,367460,4,N2,2022-10-13,INE020B07GX4
ALPHAGEO,1059.5,1059.5,1063,1063,1063,200,212250,2,N3,2022-10-13,INE020B07GY2
ALPSINDUS,1085,1085,1190,1085,1085,1082,1182475,10,N5,2022-10-13,INE020B07HO1
AMARAJABAT,1118.28,1110,1118.28,1110,1110,20,22282.8,3,N8,2022-10-13,INE020B07HR4
AMBER,1260,1248,1260,1250.43,1248,700,875306,3,N9,2022-10-13,INE020B07HS2
AMBICAAGAR,1115,1115,1128.67,1121.23,1128.67,673,751018.01,7,NE,2022-10-13,INE020B07IF7
AMBIKCO,1240.1,1240.1,1250,1250,1250,547,681621.5,6,NH,2022-10-13,INE020B07JU4
AMBUJACEM,1140.01,1140.01,1140.01,1140.01,1140.01,11,12540.11,2,NI,2022-10-13,INE020B07GH7
AMDIND,3.8,3.65,3.8,3.7,3.7,421906,1566612.9,829,BE,2022-10-13,INE217K01011
AMIORG,459.9,459.9,461,460,460,97,44635,9,N6,2022-10-13,INE217K07AG5
AMJLAND,413,413,441,441,441,55,24115,4,N8,2022-10-13,INE217K08289
AMRUTANJAN,1210.9,1175.05,1210.9,1189,1190,403331,479872595.4,18766,EQ,2022-10-13,INE721A01013
ANANDRATHI,1014.7,1014.4,1014.74,1014.4,1014.4,178,180601.87,9,YH,2022-10-13,INE721A07NT3
ANANTRAJ,1055,1055,1059.98,1059.98,1059.98,162,171666.96,3,YI,2022-10-13,INE721A07NU1
ANDHRAPAP,1033.99,1026.16,1033.99,1026.16,1026.16,107,110582.12,3,YK,2022-10-13,INE721A07NW7
