SYMBOL,OPEN,LOW,HIGH,CLOSE,LAST
AWL,493.8,489.05,509.6,494.85,504
AXISBANK,82.25,81.4,87.6,84.05,84.6
AXISCADES,17.7,16.85,17.9,17,17.1
AXITA,59.15,57.35,60.05,58.75,58.9
AYMSYNTEX,295.9,285,299.15,292.25,292
BAFNAPH,2.35,2.25,2.35,2.3,2.35
BAGFILMS,494.3,488.4,496.55,490.7,490.65
BAJAJ-AUTO,2340,2269.2,2340.95,2277.6,2283.95
BAJAJCON,28.7,27.7,28.7,27.75,27.7
BAJAJELEC,1566.6,1549.9,1593,1568.7,1577.7
BAJAJFINSV,505.4,491.5,505.4,496.85,495.55
BAJAJHCARE,73.9,72.35,74,73.45,73.5
BAJAJHIND,919.9,910.05,922.8,916.75,912
BAJAJHLDNG,28.2,27.5,28.35,27.9,27.8
BAJFINANCE,719.25,710.05,720.15,713.8,714.35
BALAJITELE,668.95,660.05,691.3,681.05,678
BALAMINES,101.1,98.9,102.3,100.45,100.15
BALAXI,429,429,438.1,433.35,431
BALKRISHNA,143.35,141.5,145.45,143.05,143.5
BALKRISIND,20.15,19.8,20.15,19.9,19.8
BALMLAWRIE,1593.4,1562.55,1605,1588.35,1593
BALPHARMA,42.5,40.4,43.45,41.15,41.2
BALRAMCHIN,5.85,5.75,5.9,5.8,5.85
BANARBEADS,164.75,164.75,168.85,166.85,167.65
BANARISUG,21.05,20.3,21.65,21.2,21.3
BANCOINDIA,0.75,0.7,0.75,0.7,0.75
BANDHANBNK,880,865,908,896.5,904.3
BANG,727.95,725,754,729.35,730
BANKA,1382.1,1382,1414,1396.8,1405
BANKBARODA,226.2,226.2,235,228.95,228
BANKINDIA,561,560.25,572.75,566.45,566.25
BANSWRAS,298,294.05,302,296.6,298.1
BARBEQUE,1100,1086,1119,1089.65,1096
BARTRONICS,583.95,572.35,587.9,575.6,574.5
BASF,203.9,203,223.5,216.15,214.8
BASML,4270.1,4236,4317.95,4266.05,4270
BATAINDIA,515,515,523,520.4,519.5
BAYERCROP,273.7,268.15,275.5,272.25,272
BBL,1463.05,1440,1591.25,1591.25,1591.25
BBOX,304,290.5,304.8,296.6,294.9
BBTC,302.25,293,307.35,301.2,302
BCG,81,79.35,81.75,79.65,80
BCLIND,21.35,21.05,23.4,22.8,22.6
BCONCEPTS,32.05,31.7,35.25,35.05,35
BCP,137,135.65,139.7,137.75,138
BDL,75.9,61.4,76,68.05,68.95
BEARDSELL,220.5,216.55,223.8,221.75,219.85
BECTORFOOD,1389,1365.7,1404.35,1375.65,1371.2
BEDMUTHA,49.1,48,49.45,49.1,48.5
BEL,116.95,111.9,119.2,119.2,119.2
BEML,13.25,13.15,13.5,13.35,13.5
BEPL,21.5,20.9,21.5,21.35,21.35
BERGEPAINT,65.7,64.3,66.4,64.45,64.95
BESTAGRO,113.1,112.8,113.1,112.8,112.8
BFINVEST,100.95,90.1,100.95,91,90.6
BFUTILITIE,96.95,95.2,97.9,95.65,95.6
BGRENERGY,314.9,304.05,316.5,305.2,305.8
BHAGCHEM,252,242.35,254.9,243.95,244
BHAGERIA,620,619.95,634,622.3,621
BHAGYANGR,300,294.75,301.15,297.6,301
BHAGYAPROP,408,397.5,408,400.25,401.55
BHANDARI,477.85,470,481.9,471.15,473
BHARATFORG,89.65,88.1,90,88.7,88.85
BHARATGEAR,165,160.25,165.25,161.45,160.5
BHARATRAS,15.65,15.2,15.75,15.25,15.35
BHARATWIRE,76.5,75.1,77,75.95,75.95
BHARTIARTL,149.6,146.1,150.15,147.1,147.35
BHEL,71.75,71.25,72.8,71.5,71.5
BIGBLOC,92.4,90.6,93.4,92.7,92.5
BIL,3230.1,3193.9,3258.2,3209,3206
BINDALAGRO,57,56.3,58.3,57.1,57.2
BIOCON,242.75,234.6,245.95,235.85,237
BIOFILCHEM,2110,2110,2264.45,2145.6,2159
BIRLACABLE,237.2,232,241.5,237.75,236.45
BIRLACORPN,2197.95,2138.3,2197.95,2152.3,2153
BIRLAMONEY,303,295.6,306.15,301.2,300.9
BKMINDST,3079.8,2945.05,3089.85,2963.1,2965
BLBLIMITED,34.85,33.6,34.9,34.3,34.4
BLISSGVS,721.9,712.85,728,718.1,715.25
BLKASHYAP,3190,3151.25,3238,3177.35,3183.95
BLS,20.85,20.5,21.75,21.35,21.35
BLUEDART,8739.3,8623,8817.6,8763.2,8799.85
BLUESTARCO,245.2,245.2,262,259.35,262
BODALCHEM,583.3,578.1,586.9,581.6,581.65
BOMDYEING,419.6,409.05,424.4,418.1,415.15
BOROLTD,518.05,512.6,519.65,515.7,515.65
BORORENEW,127,124,127.95,126.45,127
BOSCHLTD,72.05,72,72.9,72.35,72.8
BPCL,2008,1963.6,2044,2036.25,2028
BPL,111,105.5,113.95,106.5,105.7
BRIGADE,526.15,511.55,528.4,514.3,515
BRNL,102.65,102,104,103.15,102.8
BROOKS,308.2,305.35,322.75,313.45,312.5
BSE,696,680.65,702,683.8,682.7
BSHSL,807,795.6,814.95,802,805
BSL,166.95,163,167.5,164.2,164
BSOFT,366,347.65,370,353.85,358.2
BURNPUR,78.05,75.55,78.25,76.15,76.15
BUTTERFLY,104.7,100.3,104.7,103.75,103.75
BVCL,5.55,5.35,5.6,5.4,5.45
BYKE,3616.85,3590,3648.8,3604.8,3602.4
CALSOFT,155.5,151.5,156,152.7,152.5
CAMLINFINE,1155,1141.2,1169.95,1156.7,1149
CAMPUS,1692.95,1666.45,1694.55,1681.75,1681.7
CAMS,344.3,335.1,349.8,346.15,344.9
CANBK,11.1,10.75,11.1,10.75,10.8
CANDC,6684,6607,6690,6651.85,6640
CANFINHOME,7220.5,7114.7,7226,7151.65,7150.5
CANTABIL,48.7,47.55,49.9,48.35,48.3
CAPACITE,3065,3027.3,3088.35,3038.75,3041
CAPLIPOINT,609.9,581.05,609.9,593.95,598.9
CAPTRUST,35.05,33,35.45,34.55,35
CARBORUNIV,1947.5,1911.3,1947.5,1922.9,1921
CAREERP,112.5,111.65,113.25,111.95,112
CARERATING,94.05,92.25,94.05,93,92.8
CARTRADE,355.65,352,359.8,353.9,353.35
CASTROLIND,82.55,82.1,84.55,82.8,83
CCCL,2899.7,2808,2899.7,2812.05,2808
CCHHL,182,177.6,182.75,179.55,179.65
CCL,267.3,263,268.35,264.25,264.7
CDSL,48.9,45.4,49.45,46.4,46.3
CEATLTD,68.8,68.5,69.9,69,68.5
CELEBRITY,132,129.2,132.8,130,129.9
CENTENKA,47.2,46.15,47.45,46.3,46.2
CENTEXT,97.4,95,97.9,95.6,95.3
CENTRALBK,1067.85,1050.2,1069.9,1052.55,1051.1
CENTRUM,3.7,3.55,3.7,3.65,3.65
CENTUM,2855,2845.45,2885.55,2874.5,2868
CENTURYPLY,50.2,49.65,50.6,50.05,50.05
CENTURYTEX,1802,1781.75,1825,1822.25,1820
CERA,4672,4645,4693.65,4648.25,4645
CEREBRAINT,1965.85,1912.05,1984.7,1920.5,1913.05
CESC,168.95,166.9,172.65,170.65,170
CGCL,903.9,898,909.85,900.5,898
CGPOWER,38.8,35.95,38.95,36.35,36.1
CHALET,329.1,321.1,333.05,323.45,324.85
CHAMBLFERT,187.4,176.25,187.4,184.05,184
CHEMBOND,4.8,4.55,4.85,4.6,4.55
CHEMCON,882.7,861.55,885,864.5,864
CHEMFAB,22.3,20.6,22.3,21.1,21.1
CHEMPLASTS,380.05,377,384.2,383.1,383.3
CHENNPETRO,68.8,66.7,75,74.3,75
CHEVIOT,103.25,101.05,104.4,101.4,101.5
CHOICEIN,1521,1512,1531.95,1519.4,1516
CHOLAFIN,117.6,115.05,118.25,116.2,116.45
CHOLAHLDNG,625,614,631.75,615.2,616.4
CIGNITITEC,1328.9,1281,1336.85,1303.45,1311
CINELINE,301.85,295.1,302.35,299.45,299.3
CINEVISTA,406.5,396.85,409.6,399.85,400
CIPLA,71.3,69.4,71.75,70.25,70.1
CLEAN,1349.9,1320,1349.95,1321,1335
CLEDUCATE,169.45,168.15,174,172.95,173.45
CLNINDIA,45.35,42.75,45.35,44.05,44
CLSEL,41.3,41.25,42,41.4,41.25
CMICABLES,5.45,5.35,5.5,5.4,5.45
CMSINFO,765.65,745.35,766.7,748.25,748
COALINDIA,144.75,140.05,145.65,141.65,140.85
COASTCORP,10952,10800.05,11095,10899.15,10990
COCHINSHIP,114.45,113.1,116.9,114.55,114.75
COFFEEDAY,775,767.65,779,768.9,768
COFORGE,61.9,60.3,62.35,60.65,60.65
COLPAL,126.65,123.7,129,127.2,127.75
COMPINFO,220,211.6,220,214.7,216.4
COMPUSOFT,25.75,25.3,25.8,25.5,25.45
CONCOR,268.5,261.25,268.8,262.4,262.7
CONFIPET,49.1,48.05,49.1,48.35,48.4
CONSOFINVT,135.65,131.7,135.65,133,133.4
CONTROLPR,907.55,891.05,910,904.1,905
CORALFINAC,58.75,57.9,67.45,64.65,64.2
CORDSCABLE,1.2,1.2,1.25,1.2,1.25
COROMANDEL,20.55,20,20.75,20,20.05
COSMOFIRST,75.1,74,75.1,74.25,74.55
COUNCODOS,27.3,26.75,27.4,27.2,27.35
CRAFTSMAN,283.5,281.25,291.6,285.05,284.7
CREATIVE,9000,8899.95,9050,8956.6,8955
CREATIVEYE,1180,1135.75,1180,1141.95,1137
CREDITACC,84.25,83.8,86.4,84.15,84.25
CREST,98.4,96.4,99.15,97.3,97
CRISIL,434.4,428.6,441,431.65,431
CROMPTON,568.7,559.05,571.95,561.3,563
CROWN,15700,15480,15739.9,15543.7,15538.25
CSBBANK,304.05,299.5,305.25,300.3,300.6
CSLFINANCE,71,68,71,69.3,69.4
CTE,510.6,486.1,513.05,491.5,490
CUB,36.35,34.5,36.6,35.25,35
CUBEXTUB,110.2,108,112.2,108.65,108.15
CUMMINSIND,590.95,587.2,594.9,591.15,592.5
CUPID,102.8,102.8,112,110.25,111
CYBERMEDIA,142.7,136.55,142.7,137.55,136.75
CYBERTECH,283.3,276.5,283.3,280.45,280.9
CYIENT,5,4.85,5.05,4.9,4.9
DAAWAT,1739,1736.05,1860,1801.35,1787
DABUR,24.8,23.2,24.8,24.25,24.25
DALBHARAT,42.9,41,42.9,41.15,41.2
DALMIASUG,19.1,18.35,19.25,18.5,18.8
DAMODARIND,113.7,111.55,114.55,113.25,113.2
DANGEE,586.95,575,592.8,581.55,576.5
DATAMATICS,2568,2568,2690,2596.6,2587
DATAPATTNS,224.9,221,226.5,223.5,223.55
DBCORP,2.8,2.8,2.8,2.8,2.8
DBL,490.2,487.6,507.35,502.25,502
DBOL,1289.15,1255.55,1289.15,1267.4,1274.25
DBREALTY,163.7,158.85,164.4,159.95,160
DBSTOCKBRO,715,700.05,719.8,710.2,707.8
DCAL,97.45,95,97.85,95.35,96
DCBBANK,884,867.95,893.5,888.5,884.95
DCM,129.45,124.3,132.75,129.25,128.5
DCMFINSERV,514.7,498.5,516.15,502.45,504.1
DCMNVL,597,588.35,602.05,589.4,588.35
DCMSHRIRAM,120,119.6,123.6,123.15,123.3
DCMSRIND,1.75,1.7,1.75,1.7,1.7
DCW,8.2,7.7,8.2,7.75,7.75
DECCANCE,477.2,477.2,493.85,488.25,488
DEEPAKFERT,1211,1210,1230.65,1220.05,1221
DEEPAKNTR,1529.65,1472.45,1532.95,1478.15,1481.65
DEEPENR,22.3,20.75,22.45,21.15,21.15
DEEPINDS,453.3,450.5,457.45,454.05,456
DELHIVERY,11.65,11.1,11.9,11.35,11.25
DELPHIFX,19.5,19.3,19.7,19.4,19.4
DELTACORP,23.75,23.4,24.05,23.6,23.6
DELTAMAGNT,520.4,518,527.95,519,518
DEN,624.85,618.2,625.95,624.3,625.2
DENORA,836.8,813,836.8,816.2,814.1
DEVIT,5430,5374.45,5449.85,5407.7,5410
DEVYANI,38.95,38,39.4,38.2,38
DFMFOODS,78.6,77.55,78.8,77.95,78.2
DGCONTENT,730.15,718.45,736,729.3,736
DHAMPURSUG,255,252.6,259.5,256.65,257.25
DHANBANK,392.05,386.5,401.5,390,390.1
DHANI,318,312.9,321.35,318.45,317.6
DHANUKA,191.8,185.15,191.85,186.4,185.35
DHARAMSI,424,415.1,436.95,424.1,423.05
DHARSUGAR,419.85,398.1,419.9,411.35,409
DHRUV,404.5,399.4,407.8,400.75,401.9
DHUNINV,231.6,228,236.5,228.6,229.2
DIAMONDYD,1211.95,1162.15,1211.95,1181.5,1162.15
DICIND,240.05,236,244.8,241.1,241.1
DIGISPICE,746,723,749.9,724.65,725
DIL,631.7,620.65,649.4,628.35,629.8
DISHTV,522.1,522.1,549.7,547.95,549.7
